Park Name,Rank,Visitors,Percent Of Total,Full Name,Latitude,Longitude,Weather Info
Canyonlands,29,"779,147",0.88%,Canyonlands National Park,38.24555783,-109.8801624,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
White Sands,30,"705,127",0.80%,White Sands National Park,32.77907858,-106.3333461,Temperatures at White Sands vary greatly throughout the year. Summer time temperatures can be very hot. Winters are mild with cool evenings. Spring time is the windy season. Fall is very enjoyable with mild daytime and night time temperatures.
Biscayne,31,"701,023",0.79%,Biscayne National Park,25.490587,-80.21023851,"The park is situated in a subtropical climate, which ensures sunshine year-round. Winters are normally dry and mild, with occasional fronts bringing wind and little rain. Summer brings hot and humid weather with scattered thunderstorms in the afternoons. The average temperature in January is 68 degrees Fahrenheit and 82 in July. The average rainfall for the area is 2.17 inches in January and 3.95 inches in July. June to November is hurricane season."
Theodore Roosevelt,32,"668,679",0.75%,Theodore Roosevelt National Park,47.17777274,-103.4300083,"In winter, some or all park roads may be closed due to snow."
Mammoth Cave,33,"663,147",0.75%,Mammoth Cave National Park,37.19760458,-86.13090198,"Kentucky has a moderate climate with warm, yet moist conditions. Summers average in the high 80s; winters average in the low 40s. Southern Kentucky, where Mammoth Cave is located, receives the highest average precipitation for the state, about 50 inches per year, mostly in spring. Winter can bring mild to moderate snow and ice. Storms happen year-round, and can include tornadoes and flooding in low-lying areas, but severe weather is infrequent. The temperature deep in the cave is a constant 54°F (12°C)."
Kings Canyon,34,"640,986",0.72%,,,,
Wind Cave,35,"607,418",0.69%,Wind Cave National Park,43.58012365,-103.4394709,"Spring: Highs range from 50-70°F with highly variable weather. Spring is the park's wettest season. Summer: Hot and generally dry with daytime temperatures regularly exceeding 80°F (27°C). Strong thunderstorms are common and can produce large hail and lightning. Fall: Generally dry with warm days and cool nights. Highs 50-60°F. Lows below freezing are common. Winter: Highs are in the high 30s with lows around 10°F. Snowfall averages 30 inches annually, periodically closing park roads."
Glacier Bay,36,"545,758",0.62%,Glacier Bay National Park & Preserve,58.80086718,-136.8407579,"Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest."
Crater Lake,37,"527,259",0.59%,Crater Lake National Park,42.94065854,-122.1338414,"July, August, and September are your best bets for warm, dry weather. In May, June, and October, sunny days alternate with periods of rain and snow. Winters at Crater Lake are long and snowy. Storms from the Pacific Ocean dump an annual average of 41 feet (13.5 meters) of snow at park headquarters. When it's raining or snowing, the lake is usually hidden by clouds. Crater Lake is completely invisible about 50% of the time in the winter!"
Big Bend,38,"514,107",0.58%,Big Bend National Park,29.29817767,-103.2297897,"Big Bend is a desert park, so be prepared for extreme conditions. SPRING: From February through April the park abounds with pleasant and comfortable temperatures. SUMMER: May through September is very hot. Temperatures will exceed 100 degrees in the lower elevations by late morning, and often exceed 110 along the Rio Grande. Afternoon thunderstorms can be a welcome respite. WINTER: October through January temperatures are cooler; the weather can quickly turn cold at any time during these months."
Petrified Forest,39,"505,209",0.57%,Petrified Forest National Park,34.98387664,-109.7877678,Petrified Forest National Park is a semi-arid grassland. Temperatures range from above 100° F (38° C) to well below freezing. About 10 inches (25.4 cm) of moisture comes during infrequent snow in the winter and often dramatic summer thunder-storms. Animals and plants are adapted to extremes in temperature and moisture. You should be ready too. Check out the forecast before you arrive and plan accordingly.
Mesa Verde,40,"499,790",0.56%,Mesa Verde National Park,37.23908345,-108.4624032,"SPRING: Temps range from 40 F to 70 F, but snowstorms can occur as late as May. SUMMER: Temps can reach above 90 F. Thunderstorms are common in July and August. Be prepared to bring and drink plenty of water. FALL: Temps can range from 50 F to 75 F. Snowstorms can occur as early as October. WINTER: Temps can range from the teens to low 30s F. Icy roads are common. Snow tires, all-wheel drive, or chains may be required. Be prepared with water, snacks, and layers of warm clothing."
Great Sand Dunes,41,"493,428",0.56%,Great Sand Dunes National Park & Preserve,37.79256812,-105.5919572,"Temperatures are relatively cool all year, thanks to the park and preserve's high elevation. Conditions are most often calm, but winds can arise, especially in spring and during storm fronts. Daytime temperatures feel warmer here year round due to intense high-altitude sunlight, and a scorching mid-day summer sand surface. Plan to explore the dunes morning or evening during summer. Nights are cool in summer, and frigid in winter. Visit the Great Sand Dunes website for the most accurate weather forecasts."
Redwood,42,"458,400",0.52%,,,,
Lassen Volcanic,43,"446,291",0.50%,Lassen Volcanic National Park,40.49354575,-121.4075993,"Weather at Lassen can vary dramatically throughout the year. Average January temperatures are a high of 40.4 °F (4.7 °C) and a low of 20.8 °F (-6.2 °C). Average July temperatures are a high of 88.4 °F and a low of 49.8 °F. Temperatures reach 90 °F or higher on an average of 36.9 days, and drop to 32 ° or lower on an average of 164 days days annually."
Denali,44,"427,562",0.48%,Denali National Park & Preserve,63.29777484,-151.0526568,"Summer is typically cool and wet, with highs typically in the upper 50s to low 60s, and lows in the 40s. On occasion, summer highs reach the low 80s, though this is rare. Snow can fall any month of the year, so be prepared for chilly weather even in summer. Fall colors emerge on the alpine tundra in August and in the low valleys in early September. Winter generally starts in mid-September, with temps often getting down to -40 by January. Spring is a short season in April / May, with highs above freezing."
Carlsbad Caverns,45,"390,932",0.44%,Carlsbad Caverns National Park,32.14089463,-104.5529688,"Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!"
Kenai Fjords,46,"389,943",0.44%,Kenai Fjords National Park,59.81804414,-150.106502,"The weather Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of the Japanese current that flows through the Gulf of Alaska. Summer daytime temperatures range from the mid 40s to the low 70s (Fahrenheit). Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s to -20."
Channel Islands,47,"323,245",0.36%,Channel Islands National Park,33.98680093,-119.9112735,"In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm"
Black Canyon Of The Gunnison,48,"297,257",0.34%,Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756,"Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US CLIMATE Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C). Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended."
Pinnacles,49,"275,023",0.31%,Pinnacles National Park,36.49029208,-121.1813607,"Pinnacles National Park has a Mediterranean climate with hot, dry summers, and mild winters with moderate precipitation. The park is several miles inland from the Pacific Ocean. A wider variation in seasonal temperatures can be expected in the local area. Summers are hot with temperatures above 100 degrees. Winters are cooler with highs in the 60s. Big swings in temperature occur between day and night, year round."
Voyageurs,50,"221,434",0.25%,Voyageurs National Park,48.48370609,-92.8382913,"There are four distinct seasons in Voyageur country. The air is temperate during June, July, and August when periods of fine, mild weather prevail. The frost-free season averages 120 days from June to mid-September. The average ice-out date is May 3 but varies year to year. Annual precipitation (rain and snow) averages 25-28 inches in the park and snowfall ranges from 55-70 inches, but is highly variable. The first measurable snowfall occurs in late October and the last in late April or early May."
Guadalupe Mountains,51,"219,987",0.25%,Guadalupe Mountains National Park,31.92304462,-104.885527,"The Guadalupe Mountains are known for high winds year-round; gusts can reach 60MPH or higher. In winter the mountains experiences occasional, light snowfalls which seldom last more than a day. From May through October, temperatures vary with highs between 80F-100F+ with lows in the 40F-60F range. November to April is generally milder with highs in between 50F-70F with lows in the 30F-50F range. Elevations above 8,000’ will be about 10F cooler than headquarters, with corresponding wind-chill."
Congaree,52,"204,522",0.23%,Congaree National Park,33.79187523,-80.74867805,"Check the forecast before getting on the road. Conditions can change rapidly within the park. Flooding can happen with little or no warning, so make sure to check water levels for Cedar Creek and the Congaree River."
Virgin Islands,53,"196,752",0.22%,Virgin Islands National Park,18.34279656,-64.74194451,"Mostly Perfect! The Tradewinds (the Easterlies) dominate the weather in the Virgin Islands, blowing east to west across the tropical Atlantic. The winter tends to bring stronger winds and less rain, and the summer tends to bring more rain and lighter winds. Be sure to check the forecast often during hurricane season or winter swell events."
Great Basin,54,"142,115",0.16%,Great Basin National Park,38.94617378,-114.2579782,"There is almost an 8,000 ft (2,400 m) difference in elevation between Wheeler Peak and the valley floor. Weather conditions in the park vary with elevation. In late spring and early summer, days in the valley may be hot, yet the snow pack may not have melted in the higher elevations. The Great Basin is a desert, with low relative humidity and sharp drops in temperature at night. In the summer, fierce afternoon thunderstorms are common. It can snow any time of the year at high elevations."
Dry Tortugas,55,"78,488",0.09%,Dry Tortugas National Park,24.628741,-82.87319,"The climate in the Dry Tortugas is subtropical, which basically means that it has warm and tropical weather in the range of 60°F to 90°F. The two main seasons are the winter stormy season from December through March which is windier and sees rougher seas, and the summertime tropical storm season from June through November where there is a higher chance of isolated storms. During the summers it is hot and humid. During the winter the temperature is milder and drier."
Wrangell - St Elias,56,"65,236",0.07%,Wrangell - St Elias National Park & Preserve,61.4182147,-142.6028439,Varies widely depending on location in park and time of year. Visit https://www.nps.gov/wrst/planyourvisit/weather.htm for detailed information.
Katmai,57,"33,908",0.04%,Katmai National Park & Preserve,58.62235668,-155.0126574,"Located between the stormy north Pacific Ocean and the even stormier Bering Sea, the Katmai region is often a battleground between weather systems. When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Winters are drier and colder."
North Cascades,58,"30,154",0.03%,North Cascades National Park,48.71171756,-121.2069423,The best weather for visiting the North Cascades generally occurs between mid-June and late-September. Summer daytime temperatures average in the 70's F. Snow is off most trails by mid-July. Autumn and Spring are popular for color and wildlife. Storms are common: always be prepared for a few days of rain and wind. The east side of the Cascade Mountains (Lake Chelan National Recreation Area) is drier and warmer in the summer than the west side. Summer temperatures at Stehekin reach the 90's F.
Isle Royale,59,"25,454",0.03%,Isle Royale National Park,48.01145819,-88.82780657,"Isle Royale National Park is a remote island wilderness in the middle of Lake Superior. Weather influences traveling to and from the island, as well as your trip once you arrive. For the most up-to-date weather information, call (906) 482-0984 or email isro_parkinfo@nps.gov prior to your trip."
Lake Clark,60,"18,187",0.02%,Lake Clark National Park & Preserve,60.57405857,-153.55535,"Lake Clark has two distinct climate areas: the coast and the interior. The coast is wetter and experiences milder temperatures. The interior gets half to one fourth as much precipitation, but temperatures are hotter in summer and colder in winter. Frost and snow can occur any time parkwide, but are most common from September to early June. Lakes here typically begins freezing in November and melting in April. Ice conditions dictate whether planes need floats or skis to land on lakes."
Kobuk Valley,61,"16,925",0.02%,Kobuk Valley National Park,67.35631336,-159.2002293,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold."
Gates Of The Arctic,62,"9,457",0.01%,Gates Of The Arctic National Park & Preserve,67.75961636,-153.2917758,"The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.!!"
National Park of American Samoa,63,"1,887",0.00%,,,,
